subzone,cases,normalize by sum,normalize by max,lat,lon,area,population
Rochor Canal,0,0,0,103.8243074,1.441520843,1.104768065,10
Safti,0,0,0,103.8094963,1.282070348,0.444637551,0
Samulun,0,0,0,103.8508671,1.283638875,0.189678622,10
Saujana,0,0,0,103.8675133,1.383831226,2.342018007,25530
Selegie,0,0,0,103.896548,1.402303557,1.425190215,270
Seletar,0,0,0,103.7335759,1.334198453,3.123069353,260
Seletar Aerospace Park,0,0,0,103.7793668,1.353617721,4.161415322,20
Seletar Hills,5,0.007183908,0.047619048,103.6800199,1.32642489,2.360736983,13580
Semakau,0,0,0,103.7565684,1.332352687,2.087856334,0
Sembawang Central,6,0.00862069,0.057142857,103.805837,1.316307061,0.561464047,29140
Sembawang East,0,0,0,103.8261925,1.313554149,2.106220139,90
Sembawang Hills,14,0.020114943,0.133333333,103.763214,1.40036602,5.211382673,6890
Sembawang North,2,0.002873563,0.019047619,103.7562151,1.339583213,1.8153081,26860
Sembawang Springs,4,0.005747126,0.038095238,103.7193063,1.305988973,2.476765267,4290
Sembawang Straits,0,0,0,103.8835249,1.313763843,2.973680524,1700
Sengkang Town Centre,4,0.005747126,0.038095238,103.818387,1.281985412,0.413709781,54680
Sengkang West,0,0,0,103.8270227,1.301821039,0.342389546,10
Senja,0,0,0,103.8402293,1.296839343,0.201018352,20200
Sennett,0,0,0,103.902201,1.307631725,1.084206006,4540
Senoko North,0,0,0,103.8519985,1.275970595,1.075884649,20
Senoko South,0,0,0,103.865471,1.280844113,1.63823955,20
Senoko West,0,0,0,103.9152622,1.401557433,1.49649941,20
Sentosa,0,0,0,103.9161188,1.325018063,2.398829821,1470
Serangoon Central,2,0.002873563,0.019047619,103.941813,1.368068922,2.555452253,26480
Serangoon Garden,27,0.038793103,0.257142857,103.8043786,1.376001061,37.32844084,39180
Serangoon North,0,0,0,103.8421903,1.307138487,0.172550725,17490
Serangoon North Ind Estate,0,0,0,103.7564448,1.321675924,0.952743275,20
Shangri-La,14,0.020114943,0.133333333,103.8456382,1.279194276,0.063971266,18510
Shipyard,0,0,0,103.8381917,1.437876198,1.51838507,0
Siglap,10,0.014367816,0.095238095,103.912572,1.372712881,0.612856357,6930
Simei,2,0.002873563,0.019047619,103.8553276,1.362690286,1.08386138,42710
Simpang North,0,0,0,103.8656077,1.339576806,0.817326521,0
