Source,Target,Weight
Hougang West,Yishun West,48
Pasir Ris Wafer Fab Park,Xilin,13
Queensway,Leedon Park,7
Lorong Ah Soo,Ang Mo Kio Town Centre,37
Yunnan,Tampines East,57
Yio Chu Kang North,Senoko North,1
Compassvale,Defu Industrial Park,8
Mandai East,Farrer Park,10
Trafalgar,Woodlands Regional Centre,40
Hillcrest,Sembawang Springs,3
Rochor Canal,Boon Keng,55
Orange Grove,Sembawang East,2
Guilin,Bukit Batok South,48
Boulevard,Kampong Ubi,66
Yio Chu Kang East,Moulmein,7
Pasir Panjang 1,Tampines West,7
Tanglin Halt,Bukit Batok Central,9
Clementi West,Boon Lay Place,24
Woodlands West,The Wharves,11
Clementi North,Benoi Sector,6
Hong Kah,Sengkang West,3
Boulevard,Yunnan,52
Peng Siang,Yio Chu Kang East,5
Woodlands South,Pearl's Hill,20
Orange Grove,Bedok South,17
Yio Chu Kang,Woodlands Regional Centre,42
Kovan,Hougang East,40
Woodlands East,Boon Teck,19
Punggol Field,Pearl's Hill,30
Changi Airport,Bishan East,74
Tiong Bahru,Senoko North,6
Nassim,Kampong Glam,6
Woodlands Regional Centre,Pioneer Sector,4
Central Water Catchment,Moulmein,30
Pasir Ris Wafer Fab Park,Hougang West,18
Nee Soon,Geylang East,27
Khatib,Upper Thomson,62
Hillview,Lavender,20
Keat Hong,Tampines North,3
Leedon Park,Farrer Park,10
National University of S'pore,Upper Thomson,28
Joo Koon,Bedok North,11
Bayfront Subzone,Fajar,9
Guilin,Lim Chu Kang,5
Hougang East,Kallang Way,12
Bukit Ho Swee,Victoria,38
Kaki Bukit,Teck Whye,18
Kampong Java,Xilin,11
Upper Paya Lebar,Aljunied,91
Jurong West Central,Newton Circus,3
Maritime Square,Moulmein,54
Kembangan,Chinatown,22
Bayfront Subzone,Clementi West,8
Kovan,Hillcrest,17
Tyersall,Yew Tee,15
Sembawang Central,Sembawang Hills,9
One North,Tampines East,26
Braddell,Orange Grove,9
Pasir Ris West,Woodlands Regional Centre,22
Mei Chin,Redhill,25
Midview,Woodlands South,21
Marina South,Tanglin Halt,3
Kranji,Shangri-La,5
Frankel,Paterson,5
Jurong Gateway,Hougang Central,22
Depot Road,Joo Koon,6
Northland,Fort Canning,18
West Coast,Clementi North,32
Clementi Central,Ridout,11
Hougang Central,Upper Paya Lebar,37
Anchorvale,Toa Payoh West,12
Woodlands East,Yio Chu Kang East,27
Pasir Ris Park,Northland,11
Joo Seng,Sembawang Central,24
Marymount,Tiong Bahru Station,13
Townsville,Lorong 8 Toa Payoh,21
Yio Chu Kang East,Woodlands South,12
Gul Basin,Senoko South,6
Joo Seng,Western Water Catchment,31
Bukit Ho Swee,Yuhua West,18
Swiss Club,Toa Payoh West,26
Commonwealth,Boon Keng,5
Pearl's Hill,Teban Gardens,18
Tanglin,Tampines East,8
Moulmein,Frankel,53
Sengkang West,Northland,14
The Wharves,Aljunied,4
Jurong River,Woodlands West,8
Sembawang North,Nee Soon,13
Kim Keat,Yishun West,17
Pasir Ris Drive,Bukit Merah,5
Margaret Drive,Reservoir View,6
Jurong River,Senoko South,15
Bayfront Subzone,Hillview,16
Clementi Central,Chong Boon,9
Fernvale,Katong,18
Senoko West,Gali Batu,12
Bishan East,Geylang Bahru,24
Jurong Gateway,Boulevard,50
Bayfront Subzone,Bukit Ho Swee,25
Tengeh,Braddell,4
Singapore General Hospital,Mackenzie,16
Bugis,Sembawang Springs,5
Maritime Square,Woodlands South,37
Liu Fang,North Coast,14
Jurong Gateway,Kampong Tiong Bahru,14
Pasir Ris Drive,Hong Kah,12
Cairnhill,Changi Airport,26
Senoko West,Mackenzie,3
Woodgrove,Mandai East,12
Matilda,Lavender,57
Victoria,Bishan East,38
Changi Airport,Ang Mo Kio Town Centre,31
Selegie,Jelebu,7
Senoko West,Changi Airport,26
Yio Chu Kang West,Woodgrove,16
Changi Airport,Pei Chun,12
Woodlands Regional Centre,Hougang Central,18
Boon Lay Place,Lorong Halus,1
International Business Park,Yuhua West,33
Taman Jurong,Alexandra Hill,44
Dunearn,Senoko West,3
Chin Bee,Swiss Club,15
Tampines North,Yuhua East,2
Farrer Court,Tanglin Halt,11
Greenwood Park,Marina Centre,1
Boat Quay,Kent Ridge,4
Bras Basah,Braddell,11
Clarke Quay,Mountbatten,10
Tanglin,Singapore Polytechnic,18
Depot Road,Sembawang Springs,1
Orange Grove,Holland Road,7
Clementi Central,Anchorvale,7
Seletar Aerospace Park,Potong Pasir,7
Geylang Bahru,Matilda,22
Woodgrove,Benoi Sector,4
Nee Soon,Bangkit,5
Sembawang North,Boon Keng,5
Kovan,Tuas Promenade,10
Swiss Club,Yio Chu Kang,1
Kampong Java,Hougang West,47
Farrer Park,Yuhua East,29
Yio Chu Kang,Sembawang Hills,12
Sentosa,Potong Pasir,22
Clementi West,Henderson Hill,12
Port,Bedok North,21
Leedon Park,Aljunied,17
Singapore General Hospital,Changi Airport,32
Holland Road,Oxley,4
City Hall,Keat Hong,18
Singapore General Hospital,Gali Batu,7
Kampong Tiong Bahru,Jurong West Central,13
Tuas View Extension,City Terminals,7
Sengkang Town Centre,Macpherson,38
Tiong Bahru,Toh Tuck,5
Central Water Catchment,Dover,12
Kampong Glam,Maritime Square,15
Bedok North,Sunset Way,12
Liu Fang,Mandai East,2
Boon Keng,Liu Fang,3
Bukit Batok South,Faber,28
Jurong Port,Yishun West,8
Tuas Promenade,Loyang West,3
Alexandra Hill,Lorong 8 Toa Payoh,15
Victoria,Ang Mo Kio Town Centre,22
Mandai East,Aljunied,20
Hillview,One Tree Hill,9
Queensway,Yunnan,7
Anak Bukit,Mount Pleasant,15
Rivervale,Yuhua West,12
Toh Guan,Pearl's Hill,12
Lakeside,Hong Kah North,16
Kampong Java,Lakeside,4
Istana Negara,Loyang West,4
Saujana,City Terminals,6
Kallang Way,Trafalgar,20
Lim Chu Kang,Bishan East,5
Lakeside,Fernvale,6
Balestier,Tanglin Halt,20
Northland,Nassim,20
Bukit Batok West,Penjuru Crescent,6
Bangkit,Defu Industrial Park,1
Rivervale,Henderson Hill,4
Kaki Bukit,Peng Siang,14
Gul Basin,Woodlands West,4
Coronation Road,Pearl's Hill,10
Nee Soon,City Hall,6
The Wharves,Newton Circus,2
Lorong Ah Soo,Pei Chun,20
Rochor Canal,Bras Basah,8
Balestier,Jurong Port,1
Farrer Park,People's Park,3
Bayfront Subzone,Telok Blangah Drive,18
Northland,Serangoon North,4
Upper Paya Lebar,Paya Lebar North,6
Pasir Ris Central,Leonie Hill,4
Moulmein,Fernvale,29
Changi Point,Tiong Bahru Station,7
Hillcrest,Joo Koon,7
Bukit Batok Central,Katong,4
Hong Kah,Geylang Bahru,10
Teban Gardens,Marina Centre,12
Mandai East,Newton Circus,3
Kampong Tiong Bahru,Port,4
Clementi West,Victoria,14
Tampines West,Nature Reserve,8
Oxley,Hougang Central,2
Defu Industrial Park,Pasir Ris West,7
Pulau Punggol Timor,Bukit Batok West,3
Toa Payoh Central,Kranji,14
Commonwealth,Punggol Town Centre,2
Yishun East,Simpang North,3
Kampong Glam,Marina Centre,11
Raffles Place,Yio Chu Kang West,7
Woodlands West,National University of S'pore,12
Yishun South,Penjuru Crescent,3
Kim Keat,Turf Club,1
Kent Ridge,Singapore General Hospital,2
Clarke Quay,Central Subzone,7
Ulu Pandan,Boon Lay Place,6
Yio Chu Kang West,Hougang Central,11
Serangoon North Ind Estate,Sembawang Springs,3
Boat Quay,Yio Chu Kang East,3
Yishun South,Guilin,14
Farrer Park,Plab,2
Wenya,Bukit Batok Central,10
Senoko West,Lorong Ah Soo,4
Bedok South,Punggol Town Centre,3
Lakeside,Frankel,2
East Coast,Hillview,2
Shangri-La,Sungei Road,1
Lorong Chuan,Kaki Bukit,14
Kampong Ubi,Tukang,4
Lim Chu Kang,Pei Chun,3
Cairnhill,Gali Batu,7
Woodlands West,One North,10
Tiong Bahru Station,Yio Chu Kang,8
Tuas North,Yishun East,4
Senoko North,Keat Hong,4
Paterson,Kranji,2
East Coast,Telok Blangah Drive,2
Ridout,Pasir Panjang 2,4
Khatib,Mandai Estate,5
Marine Parade,Kampong Tiong Bahru,7
Nee Soon,Depot Road,1
Bukit Ho Swee,Boon Lay Place,7
Yunnan,Flora Drive,1
Reservoir View,Jurong Island and Bukom,2
Choa Chu Kang North,Lorong Chuan,6
Taman Jurong,Upper Paya Lebar,6
Singapore Polytechnic,Everton Park,3
Kian Teck,Sennett,2
Serangoon North Ind Estate,Joo Koon,4
Maxwell,Yio Chu Kang West,1
Serangoon Central,Cecil,5
Sunset Way,City Hall,6
Tanjong Pagar,Joo Koon,5
Jurong Island and Bukom,Cecil,1
Paya Lebar West,Pasir Ris Wafer Fab Park,9
Bukit Batok East,Sembawang North,4
Hougang Central,Alexandra Hill,9
Upper Paya Lebar,Raffles Place,3
Tanglin,Yio Chu Kang,2
Clementi Central,Changi West,2
Rochor Canal,Nee Soon,2
Commonwealth,Bras Basah,8
One Tree Hill,Woodleigh,1
Joo Koon,Rochor Canal,7
Bugis,Joo Koon,4
Chong Boon,Rochor Canal,8
Toa Payoh West,Sunset Way,1
Margaret Drive,Matilda,4
Cecil,Pasir Ris Wafer Fab Park,2
Pasir Ris West,Sembawang Hills,2
Lim Chu Kang,Ang Mo Kio Town Centre,3
Hougang East,Tanglin,2
Boat Quay,Boon Teck,2
Yunnan,North-Eastern Islands,3
Senja,Tukang,3
Malcolm,China Square,2
Leedon Park,Newton Circus,4
Rochor Canal,Punggol Town Centre,2
Dunearn,Reservoir View,1
Tanglin,Toa Payoh West,1
Maxwell,Marine Parade,2
Wenya,Serangoon Central,5
Mountbatten,Paterson,1
Margaret Drive,Senoko West,3
Jelebu,Pei Chun,3
Ang Mo Kio Town Centre,Nature Reserve,1
Jurong West Central,Paya Lebar North,7
Telok Blangah Way,Tanglin Halt,2
Hougang West,Turf Club,5
Peng Siang,Boon Teck,3
International Business Park,Henderson Hill,4
Crawford,Yio Chu Kang West,5
Mandai West,Punggol Field,1
Yishun East,Pioneer Sector,4
Matilda,One Tree Hill,2
Tampines North,People's Park,3
Pasir Ris Central,Telok Blangah Rise,3
Seletar Hills,Sentosa,5
Tiong Bahru,Pandan,5
Bedok Reservoir,Bayfront Subzone,9
Gali Batu,Teban Gardens,6
Sembawang East,Kovan,1
Clementi North,Mandai East,5
Anson,Phillip,2
Sembawang Springs,Pasir Panjang 2,1
One Tree Hill,Pasir Ris Central,2
Fernvale,Paterson,2
Reservoir View,Tai Seng,5
Pulau Punggol Barat,Senoko South,1
Bedok North,Tuas Bay,3
Chin Bee,Brickworks,3
Sengkang Town Centre,Wenya,3
Sunset Way,Depot Road,2
Yio Chu Kang North,Toh Tuck,1
Midview,Dover,3
Hougang West,Loyang East,1
Siglap,Telok Blangah Way,2
Bukit Batok South,Greenwood Park,2
Shipyard,Serangoon Central,2
Boulevard,Brickworks,1
Tuas View Extension,Siglap,2
Telok Blangah Way,Rivervale,3
Tuas View Extension,Bedok Reservoir,1
Katong,Telok Blangah Way,4
Jurong Port,Turf Club,2
Tengah,Seletar,1
Selegie,Pasir Ris Drive,2
Airport Road,Boulevard,1
Townsville,Tukang,1
Seletar Aerospace Park,Toh Guan,2
Paterson,Chatsworth,2
One North,Flora Drive,2
Mei Chin,Tuas North,1
Dairy Farm,Penjuru Crescent,1
Sembawang East,Yew Tee,2
Keat Hong,Pasir Panjang 2,1
Senja,Lorong 8 Toa Payoh,2
Geylang Bahru,Ulu Pandan,1
Boon Teck,Kim Keat,1
Saujana,Siglap,1
Chatsworth,Kim Keat,1
Gul Circle,East Coast,1
Bukit Batok East,One North,16
Teban Gardens,Pandan,120
Kampong Ubi,Kallang Way,76
Tampines East,Hougang West,124
Henderson Hill,Balestier,13
Hong Kah,Taman Jurong,294
Crawford,Macpherson,36
Taman Jurong,Hong Kah,284
Woodgrove,Woodlands East,277
Matilda,Maxwell,1
Kim Keat,Farrer Park,9
Greenwood Park,Senoko North,29
Benoi Sector,Jurong West Central,152
Dairy Farm,Henderson Hill,6
Bayfront Subzone,Central Subzone,83
Changi Airport,Boon Teck,25
Central Water Catchment,Jelebu,25
Hong Kah North,Bukit Batok West,100
North Coast,Keat Hong,57
Hougang West,Farrer Park,92
Bayshore,Victoria,31
Farrer Park,Kallang Bahru,41
Hougang West,Aljunied,112
Crawford,Dover,8
Kaki Bukit,Pasir Ris Park,23
Aljunied,Phillip,52
Dhoby Ghaut,Maritime Square,128
Woodgrove,Ang Mo Kio Town Centre,29
Northland,Tampines East,77
Mei Chin,Upper Paya Lebar,5
Jelebu,Choa Chu Kang Central,153
Ridout,Simei,10
Maritime Square,Jelebu,85
Bukit Batok West,Boon Lay Place,51
North-Eastern Islands,Hougang West,9
Telok Blangah Way,Serangoon North,3
Holland Drive,Clarke Quay,12
Mount Pleasant,Bukit Batok South,2
Telok Blangah Way,Fort Canning,6
Chong Boon,Defu Industrial Park,13
Jelebu,Bencoolen,46
Balestier,Fort Canning,97
Tampines West,Depot Road,1
Moulmein,Tyersall,77
Keat Hong,Simei,6
Anak Bukit,Tanjong Rhu,32
Kim Keat,Aljunied,49
Yishun South,Victoria,32
Jurong River,Tengeh,11
Tanjong Pagar,Peng Siang,4
Yio Chu Kang,Punggol Field,17
Yishun East,People's Park,1
Kent Ridge,Pasir Panjang 1,14
Fort Canning,Ghim Moh,18
Trafalgar,Punggol Field,85
Townsville,Kallang Way,14
Hillview,Crawford,12
Simei,Jurong West Central,46
Sembawang Springs,Mandai East,58
Midview,Jelebu,14
Defu Industrial Park,Alexandra Hill,1
Dairy Farm,Victoria,9
Rivervale,Upper Thomson,52
Alexandra Hill,Joo Seng,20
City Hall,Peng Siang,16
Pasir Panjang 1,Marina Centre,17
Pasir Ris Central,Geylang East,158
Kangkar,Bendemeer,31
Commonwealth,Coronation Road,9
Lorong Ah Soo,Yio Chu Kang East,20
Nassim,Malcolm,32
Pang Sua,Jurong West Central,18
Midview,Pasir Ris Drive,12
Singapore General Hospital,Sembawang East,2
Maritime Square,Pasir Ris Drive,75
Safti,Kaki Bukit,3
Moulmein,Holland Drive,27
Tiong Bahru Station,Benoi Sector,4
Bukit Batok Central,Central Water Catchment,15
Bendemeer,Choa Chu Kang North,17
Central Subzone,Marina South,23
Clementi North,Ang Mo Kio Town Centre,11
Tampines West,City Hall,99
Teban Gardens,Tuas Promenade,26
Sembawang Springs,Simei,10
Mei Chin,Alexandra Hill,42
Braddell,Bukit Merah,2
Trafalgar,Singapore General Hospital,27
Kembangan,Toa Payoh West,15
Pasir Ris West,Wenya,5
Toa Payoh Central,Senoko North,7
Sembawang East,Rivervale,4
Sembawang Hills,Yio Chu Kang North,2
Potong Pasir,Farrer Park,68
Nature Reserve,Boon Lay Place,7
Fernvale,Sembawang Straits,5
Marymount,Gul Circle,3
Malcolm,Bukit Batok Central,3
Senja,Kallang Way,10
Telok Blangah Drive,Redhill,24
Sembawang Springs,North Coast,46
Chinatown,Balestier,57
Kampong Ubi,Tanglin,8
One Tree Hill,Sentosa,14
Western Water Catchment,Hougang West,10
Choa Chu Kang Central,Nassim,28
Bedok South,Ulu Pandan,12
Guilin,Sembawang North,9
China Square,Pasir Ris West,7
Matilda,Crawford,29
Marina Centre,Boon Lay Place,25
Defu Industrial Park,Serangoon Garden,16
Woodlands West,Bedok Reservoir,8
Bayfront Subzone,Mountbatten,24
Bukit Batok Central,Midview,9
Defu Industrial Park,Upper Paya Lebar,8
Holland Road,Guilin,17
Toa Payoh Central,Toh Tuck,12
Choa Chu Kang North,Lorong Ah Soo,23
Geylang East,Kampong Glam,39
Bukit Ho Swee,Upper Thomson,26
Sembawang Hills,Jurong Gateway,2
Woodgrove,Pei Chun,3
Seletar Hills,Robertson Quay,5
Boon Lay Place,Yishun South,5
Clementi West,Upper Thomson,9
Ang Mo Kio Town Centre,City Hall,55
Fernvale,Margaret Drive,7
Toh Tuck,Toa Payoh Central,11
Changi Airport,Bencoolen,45
Somerset,Teban Gardens,16
Sembawang Central,Punggol Field,5
Lorong Halus North,Waterway East,7
Marine Parade,Clementi Woods,9
Pasir Panjang 1,Maritime Square,104
Bukit Ho Swee,Rochor Canal,18
Serangoon North,Kampong Bugis,2
Greenwood Park,Tuas Promenade,1
Choa Chu Kang Central,Fort Canning,20
Balestier,Gombak,9
Fernvale,Kampong Bugis,13
Hougang East,Lorong Halus,24
Chinatown,Pasir Ris Wafer Fab Park,6
Shangri-La,Raffles Place,5
Clementi West,Rochor Canal,6
Liu Fang,Woodlands East,16
Ang Mo Kio Town Centre,Bangkit,9
Bedok Reservoir,Woodlands West,10
Kembangan,Yio Chu Kang,10
Mackenzie,Bukit Batok West,9
Senoko South,Seletar Hills,26
Waterway East,Nassim,13
Dover,Pasir Ris West,5
Bishan East,Taman Jurong,21
Bendemeer,Kebun Bahru,18
Benoi Sector,Port,10
Northland,Flora Drive,3
Ridout,Benoi Sector,2
Bayfront Subzone,Chinatown,20
Pasir Ris Park,Cheng San,7
Port,Defu Industrial Park,13
Choa Chu Kang North,Mackenzie,26
Tanjong Rhu,Toa Payoh Central,50
Upper Thomson,Phillip,21
Fajar,Tagore,8
Henderson Hill,Anson,4
Yio Chu Kang East,Pasir Ris Drive,6
Tengeh,Jurong River,12
Kembangan,Bidadari,2
Clementi North,Woodlands East,39
Serangoon Garden,Defu Industrial Park,16
Kallang Way,Khatib,26
Nassim,Bukit Batok West,15
Paya Lebar East,Punggol Field,5
Dunearn,Yishun West,4
Raffles Place,Woodlands South,11
Chatsworth,Pearl's Hill,19
Senoko West,Bedok South,5
Kovan,Woodlands Regional Centre,15
Boon Teck,Pearl's Hill,11
Fernvale,Seletar Aerospace Park,49
Dhoby Ghaut,Marina Centre,64
Raffles Place,Macpherson,17
Tanjong Rhu,Greenwood Park,2
City Terminals,Pandan,11
Clementi North,Pei Chun,7
Victoria,Kent Ridge,8
Kim Keat,Newton Circus,1
Ridout,Orange Grove,12
Bedok North,Kim Keat,18
Benoi Sector,Townsville,1
Yishun South,Boon Lay Place,13
Macpherson,Lorong 8 Toa Payoh,29
Raffles Place,Moulmein,17
Lim Chu Kang,Bencoolen,2
Woodlands Regional Centre,Yuhua East,13
Central Water Catchment,Pasir Ris Drive,16
Lorong Ah Soo,Bencoolen,20
Pasir Ris Drive,Kranji,16
Hougang Central,Hong Kah,9
Jurong Port,Farrer Park,3
Bukit Batok Central,Margaret Drive,8
Pang Sua,Port,2
Keat Hong,Orange Grove,8
Bedok South,Senoko West,6
Gul Circle,Compassvale,3
Faber,Liu Fang,4
Hillview,Maxwell,1
Singapore General Hospital,Bedok South,47
Nature Reserve,Victoria,9
Ang Mo Kio Town Centre,Geylang East,25
Shangri-La,Paya Lebar North,2
Woodlands West,Teck Whye,22
Mountbatten,Kampong Bugis,19
International Business Park,Upper Thomson,9
Changi Airport,Yio Chu Kang East,11
Waterway East,Serangoon North,15
Yio Chu Kang North,Yio Chu Kang North,5
Lorong Halus,Marymount,2
Straits View,Tiong Bahru,4
Lorong Ah Soo,Choa Chu Kang Central,10
North-Eastern Islands,Xilin,11
Bayshore,Bendemeer,7
Loyang West,Senja,3
Potong Pasir,Newton Circus,5
Faber,Changi Point,2
Simei,Townsville,15
Ridout,North Coast,10
Shangri-La,Bedok North,17
Admiralty,Jurong West Central,8
Yishun South,Yuhua West,8
Newton Circus,Lorong Chuan,3
Kampong Tiong Bahru,Tampines West,9
One Tree Hill,Waterway East,1
Kovan,Sembawang Hills,2
Mount Emily,Everton Park,3
Pearl's Hill,Safti,1
Brickworks,Keat Hong,7
Bayshore,Yuhua West,21
Lower Seletar,Chong Boon,17
Sengkang West,Lim Chu Kang,2
Sembawang North,Cairnhill,6
Bukit Batok Central,Seletar Aerospace Park,6
Moulmein,Commonwealth,5
Pasir Panjang 2,Toh Guan,4
Ulu Pandan,Bedok North,10
Singapore General Hospital,Holland Road,10
Marina East,Everton Park,5
Bedok Reservoir,Senoko South,4
City Terminals,Senoko North,4
Gali Batu,Safti,3
Lorong Halus North,Marina South,1
Tengeh,Gul Basin,4
Commonwealth,Reservoir View,2
Joo Seng,Joo Koon,7
Yishun South,Henderson Hill,5
Victoria,Boon Teck,13
Yishun East,Yuhua East,12
Robertson Quay,Faber,2
Saujana,Yishun South,11
Hougang West,Newton Circus,3
Sembawang Straits,Hong Kah North,2
Jurong River,Little India,12
Singapore Polytechnic,Clarke Quay,4
Kangkar,Yuhua West,8
Bukit Batok East,National University of S'pore,10
Yuhua East,Everton Park,2
Sembawang North,Shipyard,2
Kembangan,Singapore Polytechnic,9
Penjuru Crescent,Pasir Ris West,1
Raffles Place,Dover,12
Sungei Road,Sengkang Town Centre,2
Woodlands Regional Centre,People's Park,2
Loyang East,Geylang Bahru,1
Lorong Ah Soo,Boon Teck,16
Kampong Glam,Tuas Promenade,3
Yuhua West,Marina South,5
Geylang Bahru,Loyang East,2
Tengah,Benoi Sector,2
Jurong Island and Bukom,Kangkar,4
Tuas Bay,People's Park,1
Tagore,Guilin,4
Sembawang Straits,Fernvale,4
Marina Centre,Sungei Road,4
Boon Lay Place,Mount Pleasant,4
Senoko North,Peng Siang,7
Sembawang Hills,Pulau Punggol Barat,1
Yio Chu Kang East,Jelebu,5
Cairnhill,Farrer Park,22
China Square,Tampines North,3
Redhill,International Business Park,5
Yishun Central,Kaki Bukit,4
Telok Blangah Drive,Tuas North,7
Lower Seletar,Changi West,8
Waterway East,Fort Canning,15
Sembawang North,Coronation Road,3
Pasir Ris Wafer Fab Park,Tai Seng,5
Commonwealth,Senoko West,5
Senoko West,Sembawang East,4
Kampong Glam,Hougang East,3
Cecil,Kian Teck,11
Dhoby Ghaut,Alexandra North,4
Sennett,Keat Hong,1
Townsville,Tanglin,5
Holland Road,Penjuru Crescent,4
Lorong 8 Toa Payoh,Northland,11
Reservoir View,Sembawang Central,12
Aljunied,Selegie,4
Victoria,Yio Chu Kang East,8
Margaret Drive,Yishun West,11
Chinatown,Malcolm,2
Choa Chu Kang Central,Serangoon North,2
Gul Basin,Marine Parade,2
Simei,Port,7
Kampong Java,Jurong Island and Bukom,4
Wenya,Paya Lebar East,1
East Coast,Chinatown,2
Marymount,Pulau Punggol Timor,4
Joo Seng,Sembawang Springs,6
Margaret Drive,Turf Club,3
Gali Batu,Kent Ridge,2
Senja,Tengah,3
Pang Sua,Townsville,2
Mountbatten,Seletar Aerospace Park,7
Toa Payoh West,Kim Keat,3
Penjuru Crescent,Tampines North,4
Gombak,East Coast,2
Bayshore,Henderson Hill,1
Dairy Farm,Boon Lay Place,9
Safti,Lavender,3
Changi West,Tanglin,2
Macpherson,Tukang,3
Pasir Panjang 2,Potong Pasir,1
Pasir Ris Park,Saujana,3
Bidadari,Hougang West,3
Teban Gardens,Hillcrest,6
Nature Reserve,Sungei Road,1
Senoko South,Boat Quay,2
Trafalgar,Wenya,6
Tiong Bahru,Yio Chu Kang North,3
Bencoolen,Sungei Road,1
North-Eastern Islands,Kembangan,2
Gul Circle,Liu Fang,9
Serangoon North,Sembawang Straits,1
Senoko West,Holland Road,2
Admiralty,Townsville,4
Ridout,Mandai East,2
Lim Chu Kang,Kent Ridge,2
Dover,Tampines North,4
Greenwood Park,Hillcrest,1
Lorong Ah Soo,Farrer Court,4
Tuas North,Selegie,1
Loyang West,Pang Sua,1
Paya Lebar East,Wenya,1
Changi Point,Anak Bukit,1
Pioneer Sector,Bukit Merah,3
Clementi Central,Katong,5
Tuas Bay,Yuhua East,4
Orange Grove,Tiong Bahru Station,3
Turf Club,Bayfront Subzone,1
Bukit Batok West,Sungei Road,1
Telok Blangah Rise,Saujana,1
Bukit Ho Swee,Mandai Estate,1
People's Park,Little India,2
Tuas View Extension,Telok Blangah Way,1
Serangoon Central,Clifford Pier,2
Maxwell,Macpherson,1
National University of S'pore,Sennett,1
Bukit Batok Central,Sembawang Straits,2
Sembawang Springs,Orange Grove,2
Choa Chu Kang North,One Tree Hill,2
Changi West,Kallang Way,4
Paterson,Toh Tuck,1
Nassim,Anson,3
Rivervale,Mandai Estate,1
Telok Blangah Rise,Jurong Island and Bukom,2
Straits View,Plab,1
Ulu Pandan,Rochor Canal,2
Faber,Compassvale,2
Rochor Canal,Coronation Road,1
Senja,Tanglin,5
Sunset Way,Oxley,1
Khatib,Sennett,2
Northland,North-Eastern Islands,3
Jelebu,Farrer Court,3
Henderson Hill,Malcolm,1
Bedok South,Reservoir View,2
Clifford Pier,Pearl's Hill,2
Punggol Town Centre,Punggol Town Centre,5
Kampong Ubi,Tengah,1
City Terminals,Hillcrest,1
Bras Basah,Jurong River,1
Lim Chu Kang,Boon Teck,2
Tanglin Halt,Paya Lebar East,1
Bendemeer,Dunearn,1
Sembawang Springs,Benoi Sector,1
Goodwood Park,Pasir Ris West,1
Pasir Ris Wafer Fab Park,Jurong Island and Bukom,1
Liu Fang,Ang Mo Kio Town Centre,1
Rochor Canal,Senoko West,1
Ang Mo Kio Town Centre,Depot Road,2
Marymount,Paya Lebar West,1
Liu Fang,Pei Chun,1
Tagore,Penjuru Crescent,1
Lim Chu Kang,Yio Chu Kang East,2
Yio Chu Kang,Wenya,1
Lakeside,Holland Drive,1
Goodwood Park,Tampines North,1
Sungei Road,Telok Blangah Rise,1
Saujana,Telok Blangah Way,1
Chinatown,Yishun Central,1
Paya Lebar North,Kim Keat,1
Jurong Island and Bukom,Clifford Pier,1
Sembawang Straits,Frankel,1
Bayshore,Marina East (MP),2
Marina South,Gombak,1
Yishun East,Plab,2
Oxley,Yuhua East,1
Farrer Court,Gombak,1
Springleaf,Bukit Batok Central,1
Marina Centre,Bedok North,156
Balestier,Trafalgar,86
Mountbatten,Woodgrove,22
Yishun South,Upper Thomson,56
Aljunied,Serangoon Central,222
Turf Club,Woodlands West,21
Woodlands Regional Centre,Goodwood Park,2
Dairy Farm,Upper Thomson,23
Bukit Batok South,Clementi Central,82
Kampong Tiong Bahru,Marina Centre,12
Geylang East,Balestier,134
Waterway East,Tampines East,133
Coronation Road,Leedon Park,36
Mount Pleasant,Tyersall,35
Frankel,Woodgrove,36
Sembawang Springs,Woodlands East,174
Lorong Ah Soo,Bugis,29
North Coast,Teck Whye,64
Little India,Hougang West,46
Tampines East,Saujana,18
Yew Tee,Hougang West,13
Goodwood Park,Serangoon Garden,6
Upper Paya Lebar,Toa Payoh Central,42
Woodlands East,Yew Tee,98
Simei,Tampines West,301
Swiss Club,Bishan East,26
Jurong Gateway,Toh Guan,26
City Hall,Geylang Bahru,52
Yishun East,Kallang Bahru,49
Clementi Central,Margaret Drive,36
Tyersall,Nassim,182
Fernvale,Woodgrove,27
Boulevard,Bayfront Subzone,99
Bayshore,Upper Thomson,15
Plab,Hougang West,10
Leedon Park,Toa Payoh Central,18
Fernvale,Boulevard,62
Clementi North,Yio Chu Kang East,5
Mei Chin,Hong Kah,13
Serangoon Central,Compassvale,225
Braddell,Kebun Bahru,16
Samulun,Jurong Port,52
Farrer Park,Frankel,31
Jurong West Central,Toa Payoh Central,80
Geylang Bahru,Aljunied,186
Loyang East,Taman Jurong,3
Greenwood Park,Woodlands Regional Centre,19
Yishun South,Rochor Canal,5
Bedok South,Turf Club,2
Tampines East,Tai Seng,93
Clementi Central,Balestier,27
Bugis,Geylang Bahru,36
Geylang East,Midview,45
Clementi Woods,Matilda,3
Farrer Park,Fernvale,79
Crawford,Jelebu,16
Bayfront Subzone,Seletar,2
Telok Blangah Drive,Alexandra Hill,119
Admiralty,Tampines West,10
Bencoolen,Bedok North,28
Holland Road,Yuhua West,24
Seletar Hills,Clementi Woods,4
Crawford,Pasir Ris Drive,50
Frankel,Boulevard,98
Kranji,Tampines East,36
Sembawang North,Changi Airport,32
Geylang Bahru,Raffles Place,17
Marine Parade,Potong Pasir,18
Macpherson,Kallang Way,53
