Source,Target,Weight
Serangoon Garden,Mandai East,8
Aljunied,Rivervale,168
Kallang Bahru,Crawford,39
Leedon Park,Alexandra Hill,17
Upper Thomson,Shangri-La,177
Katong,Depot Road,2
Ulu Pandan,Pasir Panjang 2,4
Boon Lay Place,Sengkang Town Centre,14
Compassvale,Ang Mo Kio Town Centre,35
Pasir Ris Central,Toh Tuck,12
North Coast,Defu Industrial Park,18
Siglap,Geylang East,54
Kebun Bahru,Pasir Panjang 1,6
Simei,Anchorvale,47
Kampong Java,Victoria,56
Frankel,Ghim Moh,8
Bishan East,Somerset,151
Boon Lay Place,Dairy Farm,11
Kian Teck,Ang Mo Kio Town Centre,3
Reservoir View,Upper Thomson,8
Kampong Bugis,Lorong Halus North,6
Anak Bukit,Clementi North,188
Mei Chin,Joo Seng,11
Chong Boon,North Coast,40
Northshore,Punggol Field,44
Simei,Changi West,53
Upper Paya Lebar,Serangoon Garden,61
Guilin,Raffles Place,14
Tuas North,Tanglin Halt,4
Joo Koon,North Coast,23
Compassvale,Bishan East,51
Siglap,City Hall,16
Clarke Quay,Tyersall,9
Raffles Place,Potong Pasir,10
Simei,Chong Boon,41
Seletar Aerospace Park,Kaki Bukit,17
Bedok North,Selegie,3
Bayfront Subzone,Lim Chu Kang,6
Choa Chu Kang Central,Saujana,77
Reservoir View,Rochor Canal,10
Toh Tuck,Hong Kah,47
Tagore,Clementi West,4
Bukit Batok South,Choa Chu Kang Central,40
Bangkit,Ang Mo Kio Town Centre,5
Boulevard,Pasir Ris Central,99
Saujana,Nature Reserve,16
Sembawang North,Woodlands South,29
Yunnan,Keat Hong,56
Keat Hong,Kallang Way,7
Ridout,Institution Hill,20
Choa Chu Kang Central,Tai Seng,9
Holland Road,Hillview,52
Punggol Field,Tagore,8
Joo Seng,Sennett,40
Yuhua West,Boon Teck,4
National University of S'pore,Benoi Sector,7
Lorong Ah Soo,Yishun South,24
Hong Kah,Somerset,53
Kent Ridge,Fernvale,7
Serangoon Garden,Orange Grove,26
Sembawang Springs,Lower Seletar,26
International Business Park,Toa Payoh West,1
Sembawang Hills,West Coast,1
Chin Bee,Pasir Ris Central,1
Bedok South,Macpherson,45
Trafalgar,Kallang Bahru,51
Maxwell,Toh Guan,1
Hougang West,Pasir Ris West,32
Anchorvale,National University of S'pore,12
Alexandra Hill,Mei Chin,37
Yishun South,Mountbatten,7
