subzone,cases,normalize by sum,normalize by max,lat,lon
West Coast,0,0,0,1.31047,103.756828
Western Water Catchment,0,0,0,1.3471977,103.682541
Woodgrove,0,0,0,1.4276741,103.7806913
Woodlands East,3,0.004310345,0.028571429,1.4381922,103.7889597
Woodlands Regional Centre,0,0,0,1.4349622,103.784658
Woodlands South,0,0,0,1.4381922,103.7889597
Woodlands West,0,0,0,1.4381922,103.7889597
Woodleigh,0,0,0,1.33935,103.87079
Xilin,0,0,0,1.3293908,103.9632964
Yew Tee,0,0,0,1.3975669,103.7473389
Yio Chu Kang,0,0,0,1.381905,103.844818
Yio Chu Kang East,0,0,0,1.381905,103.844818
Yio Chu Kang North,0,0,0,1.381905,103.844818
Yio Chu Kang West,0,0,0,1.381905,103.844818
Yishun Central,0,0,0,1.4263506,103.8404896
Yishun East,3,0.004310345,0.028571429,1.430368,103.8353628
Yishun South,0,0,0,1.430368,103.8353628
Yishun West,47,0.067528736,0.447619048,1.430368,103.8353628
Yuhua East,0,0,0,1.3401636,103.7363464
Yuhua West,0,0,0,1.3473374,103.7231677
Yunnan,0,0,0,1.338575,103.692206
