subzone,cases,normalize by sum,normalize by max,population,pop_density,lon,lat,area
Oxley,0,0,0,1380,2160.406727,103.8402293,1.296839343,0.201018352
Pandan,0,0,0,10,10.31614796,103.7548901,1.307987191,1.319267102
Pang Sua,0,0,0,20,10.89523443,103.7472402,1.412542456,2.185982881
Pasir Panjang 1,0,0,0,4010,1945.125015,103.777557,1.286024788,1.09002761
Pasir Panjang 2,0,0,0,3520,3426.673269,103.7944321,1.277551372,0.857319601
Pasir Ris Central,0,0,0,25730,76158.9467,103.9462666,1.372384858,1.518824347
Pasir Ris Drive,0,0,0,59480,26200.4217,103.9596711,1.367891912,1.647627322
Pasir Ris Park,0,0,0,2980,2212.804275,103.9525374,1.380974392,1.728061809
Pasir Ris Wafer Fab Park,0,0,0,20,18.74343627,103.9290401,1.38848145,5.351322121
Pasir Ris West,13,0.018678161,0.123809524,36330,64584.64118,103.9403014,1.379664902,1.591135593
Paterson,0,0,0,150,1042.841841,103.8320729,1.301541062,0.173957313
Paya Lebar East,0,0,0,10,4.574601241,103.9219663,1.355127615,2.270192468
Paya Lebar North,0,0,0,20,39.29003705,103.92565,1.373139323,1.293641302
Paya Lebar West,0,0,0,0,0,103.912572,1.372712881,0.612856357
Pearl's Hill,0,0,0,8230,5150.137532,103.8400311,1.285480353,0.562517641
Pei Chun,0,0,0,11780,23706.85906,103.8579844,1.337000239,0.413398375
Peng Siang,0,0,0,32130,25381.31578,103.7380004,1.379658123,0.866928751
Penjuru Crescent,0,0,0,10,11.22038431,103.7417864,1.304642213,3.064444823
People's Park,0,0,0,390,293.7885567,103.8407298,1.2822873,0.093589765
Phillip,0,0,0,0,0,103.8485652,1.285161663,0.039628309
Pioneer Sector,0,0,0,0,0,103.6613003,1.300496861,2.809490369
Plab,0,0,0,0,0,103.9115292,1.359340159,7.068941267
Port,0,0,0,140,192.815718,103.7759002,1.278178789,7.638551021
Potong Pasir,0,0,0,12650,21273.48714,103.8660512,1.333338762,0.642238227
Pulau Punggol Barat,0,0,0,0,0,103.8776836,1.42465144,2.06005498
Pulau Punggol Timor,0,0,0,0,0,103.8903985,1.419576635,1.265891819
Pulau Seletar,0,0,0,0,0,103.8650652,1.444047982,1.619157761
Punggol Canal,0,0,0,0,0,103.9193863,1.407058604,1.27208775
Punggol Field,0,0,0,43300,25802.07006,103.9113981,1.394419359,1.385425353
Punggol Town Centre,0,0,0,7390,7420.93514,103.9012556,1.408808939,1.270544996
Queensway,0,0,0,280,948.7493014,103.7985731,1.288938828,0.634689982
Raffles Place,0,0,0,60,37.70891699,103.8508671,1.283638875,0.189678622
Redhill,0,0,0,12210,5735.823279,103.817015,1.287639671,0.389298779
Reservoir View,0,0,0,20,18.82732185,103.7449336,1.43105189,3.300171384
Ridout,0,0,0,1400,8664.234047,103.8125062,1.303766696,1.961297192
Rivervale,0,0,0,59860,266892.3567,103.9055982,1.388126743,1.576660601
